2024-03-21 15:47:54 epoch: 123, loss: nan
2024-03-21 15:47:54 epoch: 124, loss: nan
2024-03-21 15:47:55 epoch: 125, loss: nan
2024-03-21 15:47:55 epoch: 126, loss: nan
2024-03-21 15:47:55 epoch: 127, loss: nan
2024-03-21 15:47:56 epoch: 128, loss: nan
2024-03-21 15:47:56 epoch: 129, loss: nan
2024-03-21 15:47:56 epoch: 130, loss: nan
2024-03-21 15:47:57 epoch: 131, loss: nan
2024-03-21 15:47:57 epoch: 132, loss: nan
2024-03-21 15:47:57 epoch: 133, loss: nan
2024-03-21 15:47:57 epoch: 134, loss: nan
2024-03-21 15:47:58 epoch: 135, loss: nan
2024-03-21 15:47:58 epoch: 136, loss: nan
2024-03-21 15:47:58 epoch: 137, loss: nan
2024-03-21 15:47:59 epoch: 138, loss: nan
2024-03-21 15:47:59 epoch: 139, loss: nan
2024-03-21 15:47:59 epoch: 140, loss: nan
2024-03-21 15:48:00 epoch: 141, loss: nan
2024-03-21 15:48:00 epoch: 142, loss: nan
2024-03-21 15:48:00 epoch: 143, loss: nan
2024-03-21 15:48:00 epoch: 144, loss: nan
2024-03-21 15:48:01 epoch: 145, loss: nan
2024-03-21 15:48:01 epoch: 146, loss: nan
2024-03-21 15:48:01 epoch: 147, loss: nan
2024-03-21 15:48:02 epoch: 148, loss: nan
2024-03-21 15:48:02 epoch: 149, loss: nan
2024-03-21 15:48:02 epoch: 150, loss: nan
2024-03-21 15:48:03 epoch: 151, loss: nan
2024-03-21 15:48:03 epoch: 152, loss: nan
2024-03-21 15:48:04 epoch: 153, loss: nan
2024-03-21 15:48:04 epoch: 154, loss: nan
2024-03-21 15:48:04 epoch: 155, loss: nan
2024-03-21 15:48:04 epoch: 156, loss: nan
2024-03-21 15:48:05 epoch: 157, loss: nan
2024-03-21 15:48:05 epoch: 158, loss: nan
2024-03-21 15:48:05 epoch: 159, loss: nan
2024-03-21 15:48:06 epoch: 160, loss: nan
2024-03-21 15:48:06 epoch: 161, loss: nan
2024-03-21 15:48:06 epoch: 162, loss: nan
2024-03-21 15:48:07 epoch: 163, loss: nan
2024-03-21 15:48:07 epoch: 164, loss: nan
2024-03-21 15:48:07 epoch: 165, loss: nan
2024-03-21 15:48:08 epoch: 166, loss: nan
2024-03-21 15:48:08 epoch: 167, loss: nan
2024-03-21 15:48:08 epoch: 168, loss: nan
2024-03-21 15:48:08 epoch: 169, loss: nan
2024-03-21 15:48:09 epoch: 170, loss: nan
2024-03-21 15:48:09 epoch: 171, loss: nan
2024-03-21 15:48:09 epoch: 172, loss: nan
2024-03-21 15:48:10 epoch: 173, loss: nan
2024-03-21 15:48:10 epoch: 174, loss: nan
2024-03-21 15:48:10 epoch: 175, loss: nan
2024-03-21 15:48:11 epoch: 176, loss: nan
2024-03-21 15:48:11 epoch: 177, loss: nan
2024-03-21 15:48:11 epoch: 178, loss: nan
2024-03-21 15:48:11 epoch: 179, loss: nan
2024-03-21 15:48:12 epoch: 180, loss: nan
2024-03-21 15:48:12 epoch: 181, loss: nan
2024-03-21 15:48:12 epoch: 182, loss: nan
2024-03-21 15:48:13 epoch: 183, loss: nan
2024-03-21 15:48:13 epoch: 184, loss: nan
2024-03-21 15:48:13 epoch: 185, loss: nan
2024-03-21 15:48:14 epoch: 186, loss: nan
2024-03-21 15:48:14 epoch: 187, loss: nan
2024-03-21 15:48:14 epoch: 188, loss: nan
2024-03-21 15:48:14 epoch: 189, loss: nan
2024-03-21 15:48:15 epoch: 190, loss: nan
2024-03-21 15:48:15 epoch: 191, loss: nan
2024-03-21 15:48:15 epoch: 192, loss: nan
2024-03-21 15:48:16 epoch: 193, loss: nan
2024-03-21 15:48:16 epoch: 194, loss: nan
2024-03-21 15:48:16 epoch: 195, loss: nan
2024-03-21 15:48:16 epoch: 196, loss: nan
2024-03-21 15:48:17 epoch: 197, loss: nan
2024-03-21 15:48:17 epoch: 198, loss: nan
2024-03-21 15:48:17 epoch: 199, loss: nan
